epoch,lr-AdamW/pg1,lr-AdamW/pg2,step,train/logit_scale,train/loss_epoch,train/loss_step,val/imagenet/top1,val/imagenet/top5
,5e-06,5e-06,49,,,,,
0,,,49,14.284570693969727,,8.298095703125,,
,1e-05,1e-05,99,,,,,
0,,,99,14.284059524536133,,8.252277374267578,,
,1.5e-05,1.5e-05,149,,,,,
0,,,149,14.284250259399414,,8.170486450195312,,
,2e-05,2e-05,199,,,,,
0,,,199,14.284723281860352,,8.04202651977539,,
,2.5e-05,2.5e-05,249,,,,,
0,,,249,14.286115646362305,,7.942924499511719,,
,3e-05,3e-05,299,,,,,
0,,,299,14.28980541229248,,7.806129455566406,,
,3.5000000000000004e-05,3.5000000000000004e-05,349,,,,,
0,,,349,14.296744346618652,,7.679840087890625,,
,4e-05,4e-05,399,,,,,
0,,,399,14.309877395629883,,7.583385944366455,,
,4.4999999999999996e-05,4.4999999999999996e-05,449,,,,,
0,,,449,14.322604179382324,,7.433776378631592,,
,5e-05,5e-05,499,,,,,
0,,,499,14.338899612426758,,7.395023345947266,,
,5.5e-05,5.5e-05,549,,,,,
0,,,549,14.360325813293457,,7.283044815063477,,
,6e-05,6e-05,599,,,,,
0,,,599,14.386613845825195,,7.188518524169922,,
,6.500000000000001e-05,6.500000000000001e-05,649,,,,,
0,,,649,14.413344383239746,,7.091012954711914,,
,7.000000000000001e-05,7.000000000000001e-05,699,,,,,
0,,,699,14.444877624511719,,7.003198146820068,,
,7.5e-05,7.5e-05,749,,,,,
0,,,749,14.481956481933594,,6.965073108673096,,
,8e-05,8e-05,799,,,,,
0,,,799,14.521916389465332,,6.84918212890625,,
,8.5e-05,8.5e-05,849,,,,,
0,,,849,14.564037322998047,,6.739799499511719,,
,8.999999999999999e-05,8.999999999999999e-05,899,,,,,
0,,,899,14.614344596862793,,6.759640693664551,,
,9.5e-05,9.5e-05,949,,,,,
0,,,949,14.66887092590332,,6.663307189941406,,
,0.0001,0.0001,999,,,,,
0,,,999,14.731121063232422,,6.596148490905762,,
,0.000105,0.000105,1049,,,,,
0,,,1049,14.79617691040039,,6.612532615661621,,
,0.00011,0.00011,1099,,,,,
0,,,1099,14.867431640625,,6.433352470397949,,
,0.000115,0.000115,1149,,,,,
0,,,1149,14.938307762145996,,6.4263081550598145,,
,0.00012,0.00012,1199,,,,,
